PISA 2018 Results (Volume I) - © OECD 2019,,,,,,,,,,,,,,,,,,
Annex B1,Annex B1 Results for countries and economies,,,,,,,,,,,,,,,,,
Version 3+1 - Last updated: 24-Jul-2020,,,,,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Annex B1,Annex B1 Results for countries and economies,,,,,,,,,,,,,,,,,
Version 3 - Last updated: 02-Dec-2019,,,,,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Table I.B1.4,,,,,,,,,,,,,,,,,,
Mean score and variation in reading performance,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Mean score,,Standard deviation,,Percentiles,,,,,,,,,,,,,
,,,,,5th,,10th,,25th,,Median (50th),,75th,,90th,,95th,
,Mean,S.E.,S.D.,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.
OECD,,,,,,,,,,,,,,,,,,
Australia,503,-1.6,109,-0.9,315,-2.7,357,-2.8,429,-2.2,507,-1.9,580,-2,640,-2.2,673,-2.6
Austria,484,-2.7,99,-1.2,318,-3.9,350,-3.7,413,-4.1,488,-3.8,558,-2.9,612,-2.9,641,-2.9
Belgium,493,-2.3,103,-1.3,317,-4,352,-3.8,421,-3.2,498,-2.7,568,-2.6,623,-2.6,653,-2.8
Canada,520,-1.8,100,-0.8,349,-2.8,388,-2.4,452,-2.3,524,-2.2,592,-2,646,-2.3,677,-2.8
Chile,452,-2.6,92,-1.2,298,-3.7,331,-3.6,389,-3.1,453,-3.2,517,-3.4,572,-3.3,602,-3.5
Colombia,412,-3.3,89,-1.5,272,-4.1,300,-3.7,350,-3.5,408,-3.8,472,-4.1,532,-4.7,566,-4.9
Czech Republic,490,-2.5,97,-1.6,328,-5.2,362,-4.3,422,-3.7,492,-3,560,-2.9,616,-2.8,647,-3.1
Denmark,501,-1.8,92,-1.2,344,-4,380,-3,439,-2.7,504,-2.2,566,-2.1,618,-2.6,647,-3.3
Estonia,523,-1.8,93,-1.2,367,-3.8,402,-3.5,460,-2.6,524,-2.3,587,-2.3,643,-3.1,676,-3.7
Finland,520,-2.3,100,-1.3,345,-4.7,387,-4.2,455,-3.2,527,-2.8,591,-2.5,643,-3,672,-3.3
France,493,-2.3,101,-1.5,319,-4.3,355,-3.5,423,-3,497,-3,567,-3.3,622,-3.6,651,-4
Germany,498,-3,106,-1.5,316,-5,354,-4.5,424,-4.4,504,-4.1,576,-3.5,632,-3.5,663,-3.6
Greece,457,-3.6,97,-1.6,292,-4.8,326,-4.9,390,-4.9,460,-4.1,526,-3.7,583,-3.9,614,-5
Hungary,476,-2.3,98,-1.3,311,-3.7,346,-4,407,-3,479,-3.1,547,-2.9,602,-3.7,631,-4.1
Iceland,474,-1.7,105,-1.3,293,-4.4,332,-4,402,-3.3,477,-2.7,549,-3,609,-3.3,640,-3.8
Ireland,518,-2.2,91,-1,364,-4.1,398,-3.5,456,-2.8,520,-2.4,583,-2.6,635,-2.8,663,-3.8
Israel,470,-3.7,124,-1.9,256,-5.4,296,-5.9,381,-5.8,479,-4.9,563,-3.8,628,-3.7,663,-3.9
Italy,476,-2.4,97,-1.7,306,-5.5,345,-4.6,413,-3.2,481,-2.9,545,-3,598,-3.4,628,-3.5
Japan,504,-2.7,97,-1.7,337,-5.1,374,-4.5,438,-3.7,508,-3,572,-3.1,627,-3.7,657,-4.1
