PISA 2018 Results (Volume I) - © OECD 2019,,,,,,,,,,,,,,,,,,,,,
Annex B1,Annex B1 Results for countries and economies,,,,,,,,,,,,,,,,,,,,
Version 3+1 - Last updated: 24-Jul-2020,,,,,,,,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Annex B1,Annex B1 Results for countries and economies,,,,,,,,,,,,,,,,,,,,
Version 3 - Last updated: 02-Dec-2019,,,,,,,,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table I.B1.5,,,,,,,,,,,,,,,,,,,,,
Mean score and variation in mathematics performance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Mean score,,Standard deviation,,Percentiles,,,,,,,,,,,,,,,,
,,,,,5th,,10th,,25th,,Median (50th),,75th,,90th,,95th,,,,
,Mean,S.E.,S.D.,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,,,
OECD,,,,,,,,,,,,,,,,,,,,,
Australia,491,(1.9),92,(1.2),339,(3.8),371,(3.0),428,(2.2),492,(2.1),555,(2.0),609,(2.7),641,(3.6),,,
Austria,499,(3.0),93,(1.5),341,(4.4),374,(4.4),433,(4.0),503,(3.7),566,(3.5),618,(3.3),646,(3.6),,,
Belgium,508,(2.3),95,(1.7),344,(4.3),377,(4.1),440,(3.2),514,(2.5),579,(2.6),628,(3.4),656,(3.7),,,
Canada,512,(2.4),92,(1.1),358,(3.2),392,(3.0),449,(2.8),513,(2.6),576,(2.7),629,(2.7),661,(3.2),,,
Chile,417,(2.4),85,(1.4),282,(3.9),311,(3.5),359,(2.9),416,(2.9),475,(3.2),528,(3.5),559,(4.1),,,
Colombia,391,(3.0),81,(2.0),262,(5.4),290,(3.9),335,(3.5),387,(3.5),445,(3.8),499,(4.5),531,(4.4),,,
Czech Republic,499,(2.5),93,(1.7),345,(5.2),378,(4.6),435,(3.6),501,(2.7),564,(2.8),619,(3.1),650,(3.9),,,
Denmark,509,(1.7),82,(1.0),370,(3.6),401,(2.6),454,(2.3),512,(2.3),567,(2.3),613,(2.8),640,(3.5),,,
Estonia,523,(1.7),82,(1.1),390,(3.1),419,(2.9),468,(2.4),524,(2.0),579,(2.2),628,(2.7),657,(3.6),,,
Finland,507,(2.0),82,(1.2),368,(3.6),399,(3.4),451,(2.5),510,(2.5),565,(2.4),612,(2.5),639,(3.3),,,
France,495,(2.3),93,(1.5),333,(4.3),370,(3.4),433,(3.2),502,(3.0),562,(3.2),611,(3.3),638,(3.6),,,
Germany,500,(2.6),95,(1.5),337,(4.6),373,(4.2),433,(3.6),504,(3.5),570,(3.3),621,(3.2),650,(3.4),,,
Greece,451,(3.1),89,(1.8),302,(4.9),334,(4.7),391,(4.1),454,(3.3),513,(3.2),565,(3.8),595,(4.7),,,
Hungary,481,(2.3),91,(1.6),328,(3.9),360,(4.0),418,(3.3),484,(2.9),546,(3.0),597,(3.7),626,(4.7),,,
Iceland,495,(2.0),90,(1.2),340,(3.8),374,(4.2),434,(3.4),499,(2.7),559,(2.7),609,(3.0),638,(4.1),,,
Ireland,500,(2.2),78,(1.0),367,(3.6),397,(3.3),447,(2.6),502,(2.5),554,(2.3),599,(3.0),625,(3.5),,,
Israel,463,(3.5),108,(1.9),276,(6.2),315,(5.5),388,(5.0),468,(4.0),542,(3.6),600,(3.9),632,(3.9),,,
